Booking_ID,Customer_ID,Bus_ID,Route_ID,Booking_Date,Travel_Date,Seat_Number,Fare_Amount,Booking_Status
11259,284,209,302,2026-06-18,2026-06-25,2,726.13,Confirmed
8251,347,206,303,2026-02-03,2026-02-08,28,1225.72,Confirmed
1618,324,207,308,2025-03-26,2025-03-28,20,1215.92,Confirmed
2620,393,201,307,2025-05-09,2025-05-12,30,1056.15,Confirmed
4925,307,207,305,2025-08-25,2025-08-31,40,1139.75,Confirmed
1209,262,202,303,2025-03-11,2025-03-13,15,898.93,cOnFiRmEd
11324,272,203,301,2026-06-25,2026-06-29,31,876.26,Confirmed
3135,359,207,303,2025-06-01,2025-06-02,17,1261.34,Confirmed
2145,193,208,301,2025-04-17,2025-04-21,7,573.93,Confirmed
10957,322,208,301,2026-06-02,2026-06-09,5,676.76,Confirmed
1384,272,208,307,2025-03-18,2025-03-20,31,726.76,Confirmed
8693,357,204,301,2026-03-04,2026-03-06,34,823.71,Confirmed
2037,183,208,310,2025-04-16,2025-04-18,37,448.54,Confirmed
7999,240,204,309,2026-01-27,2026-01-29,12,1050.14,Confirmed
9503,191,210,308,2026-03-24,2026-04-03,1,1218.12,Confirmed
3435,205,203,308,2025-06-14,2025-06-16,30,1276.13,Confirmed
6522,207,209,308,2025-11-07,2025-11-09,12,1046.92,Confirmed
1007,247,200,304,2025-02-24,2025-02-26,19,1153.31,cOnFiRmEd
2656,281,209,309,2025-05-09,2025-05-13,3,1278.86,Confirmed
3704,276,205,309,2025-06-29,2025-06-30,25,1087.3,Confirmed
8748,358,204,310,2026-03-05,2026-03-08,8,613.83,Pending
1594,309,208,302,2025-03-26,2025-03-26,50,464.36,Confirmed
8328,364,210,304,2026-02-07,2026-02-12,15,1156.08,Confirmed
8806,397,201,305,2026-03-08,2026-03-09,18,965.53,Pending
9098,270,205,302,2026-03-19,2026-03-21,13,517.71,Confirmed
8332,234,210,304,2026-02-10,2026-02-12,21,1150.77,Confirmed
4771,192,201,303,2025-08-22,2025-08-25,9,1058.65,Confirmed
5197,339,208,307,2025-09-11,2025-09-15,41,736.1,Confirmed
3248,253,201,301,2025-06-08,2025-06-09,2,857.95,Confirmed
2408,397,202,302,2025-04-20,2025-05-04,24,619.23,Confirmed
9573,234,207,307,2026-04-05,2026-04-07,35,873.49,Confirmed
1262,383,206,301,2025-02-28,2025-03-14,27,830.46,Confirmed
9954,270,210,309,2026-04-16,2026-04-23,11,1048.17,Confirmed
7769,287,208,302,2026-01-16,2026-01-18,47,521.11,Confirmed
8170,203,201,304,2026-02-02,2026-02-04,23,1158.64,Confirmed
5524,264,205,309,2025-09-21,2025-09-28,20,1032.96,Confirmed
5929,389,210,302,2025-10-06,2025-10-12,13,864.44,Confirmed
10911,235,202,300,2026-06-06,2026-06-08,20,324.58,Confirmed
9575,332,207,307,2026-04-04,2026-04-07,17,864.42,Confirmed
4783,217,202,307,2025-08-23,2025-08-20,9,735.0,Pending
5169,377,208,308,2025-09-12,2025-09-12,49,1051.55,Confirmed
7117,230,208,300,16/12/2025,19/12/2025,7,321.47,Confirmed
8447,310,209,300,2026-02-18,2026-02-19,21,415.24,Confirmed
1826,235,208,306,2025-04-02,2025-04-07,33,427.39,Confirmed
8815,245,207,305,03-06-2026,03-10-2026,35,972.26,Confirmed
9388,201,209,306,2026-03-29,2026-03-31,25,560.8,Confirmed
8118,185,208,308,2026-02-01,2026-02-03,18,906.65,Confirmed
10118,361,205,307,2026-04-25,2026-05-02,45,1014.99,Confirmed
2155,189,208,301,2025-04-19,2025-04-21,49,575.06,Confirmed
3681,294,202,307,2025-06-19,2025-06-29,9,1003.74,Confirmed
7657,306,205,310,2026-01-12,2026-01-14,20,380.28,Confirmed
6373,336,201,301,2025-11-01,2025-11-04,6,630.16,Confirmed
6148,344,205,307,2025-10-16,2025-10-23,11,892.35,cOnFiRmEd
1965,359,207,301,2025-04-08,2025-04-13,27,835.14,Confirmed
750,260,205,303,2025-01-30,2025-02-13,42,899.72,Confirmed
625,237,210,302,2025-01-31,2025-02-05,39,604.56,Confirmed
7956,389,202,303,2026-01-25,2026-01-26,28,,Confirmed
7672,228,207,301,2026-01-13,2026-01-15,16,727.77,Cancelled
3679,274,202,307,2025-06-24,2025-06-29,8,1003.15,Confirmed
7901,190,209,310,2026-01-22,2026-01-24,5,624.33,Confirmed
10948,222,208,301,2026-06-04,2026-06-09,38,678.91,Confirmed
9369,346,208,308,2026-03-22,2026-03-29,34,1049.61,Confirmed
3182,396,203,304,2025-06-03,2025-06-05,22,1379.11,Pending
1744,311,208,300,2025-04-04,2025-04-05,30,323.69,Confirmed
219,242,207,310,2025-01-07,2025-01-11,18,621.67,Confirmed
6226,375,200,306,2025-10-24,2025-10-26,23,841.43,Confirmed
3283,286,204,301,06-06-2025,06-10-2025,32,872.48,Confirmed
3069,331,200,308,2025-05-28,2025-05-31,36,1475.4,Confirmed
10671,275,203,301,2026-05-17,2026-05-27,30,856.88,Confirmed
10665,187,208,310,05-24-2026,05-26-2026,19,488.76,Confirmed
3376,331,205,300,06-14-2025,06-15-2025,6,379.38,Confirmed
8957,245,204,302,2026-03-10,2026-03-14,40,691.82,Confirmed
6799,323,206,300,2025-11-23,2025-11-25,14,352.65,confirmed
9491,254,210,308,2026-03-29,2026-04-03,15,1242.73,Confirmed
10930,280,202,300,2026-06-06,2026-06-08,32,323.43,Pending
2895,214,207,302,19/05/2025,25/05/2025,7,834.02,Cancelled
2175,375,208,302,2025-04-18,2025-04-22,3,452.46,Confirmed
2956,394,207,304,2025-05-26,2025-05-27,11,1370.86,Confirmed
674,253,203,300,2025-02-02,2025-02-09,10,496.94,Confirmed
8164,285,201,304,2026-01-25,2026-02-04,6,1134.23,Confirmed
9389,295,209,306,2026-03-27,2026-03-31,40,585.12,Confirmed
8355,269,206,307,2026-02-12,2026-02-15,15,1014.45,Confirmed
10692,205,203,301,2026-05-25,2026-05-27,37,882.6,Confirmed
10306,317,201,302,2026-05-06,2026-05-10,2,836.69,Confirmed
3140,286,207,303,2025-05-29,2025-06-02,11,1255.11,cOnFiRmEd
4318,376,202,300,2025-07-30,2025-08-03,36,312.84,Pending
8188,331,205,303,2026-02-03,2026-02-05,50,890.65,Cancelled
6389,324,201,304,2025-11-01,2025-11-05,1,966.89,confirmed
737,365,208,306,2025-02-10,2025-02-12,44,434.89,Confirmed
8573,303,200,306,2026-02-21,2026-02-24,38,567.89,Cancelled
8613,221,200,310,2026-02-23,2026-02-25,16,547.94,Confirmed
4976,273,206,308,2025-08-28,2025-09-01,28,1067.62,Confirmed
6221,306,200,306,2025-10-25,2025-10-26,12,821.07,Confirmed
8794,400,201,305,2026-03-05,2026-03-09,39,986.92,confirmed
6891,187,210,303,2025-12-05,2025-12-06,24,1222.81,Confirmed
8198,384,205,303,2026-02-03,2026-02-01,31,899.15,Confirmed
5021,360,204,305,2025-09-01,2025-09-03,15,990.25,Confirmed
9166,181,207,300,2026-03-21,2026-03-23,22,416.6,Confirmed
2789,386,207,310,2025-05-11,2025-05-21,14,647.64,Confirmed
11213,396,201,302,2026-06-22,2026-06-24,14,726.62,Confirmed
5290,193,209,305,2025-09-17,2025-09-18,15,993.83,cOnFiRmEd
11243,240,209,302,2026-06-19,2026-06-25,19,740.36,Confirmed
11511,400,200,309,2026-07-04,2026-07-07,40,1068.83,Cancelled
2129,274,201,308,2025-04-17,2025-04-20,8,1236.05,Confirmed
6663,251,210,304,2025-11-11,2025-11-15,34,1104.71,Confirmed
4116,221,209,304,2025-07-18,2025-07-19,36,1319.91,Confirmed
5088,205,206,301,25/08/2025,08/09/2025,18,710.66,cOnFiRmEd
5184,232,208,308,2025-09-08,2025-09-12,15,1046.94,Confirmed
1796,280,201,307,2025-03-30,2025-04-06,15,1002.17,Confirmed
1966,358,207,301,2025-04-11,2025-04-13,30,827.0,Confirmed
9807,283,202,301,2026-04-15,2026-04-17,8,663.96,Confirmed
8490,187,204,305,2026-02-18,2026-02-22,35,1138.19,Confirmed
7078,212,202,300,2025-12-04,2025-12-01,38,263.53,Confirmed
10064,374,208,304,2026-04-20,2026-04-27,22,994.94,Cancelled
5641,252,201,308,2025-10-02,2025-10-02,27,1345.2,Confirmed
10947,295,208,301,2026-06-03,2026-06-09,33,701.5,Confirmed
3223,366,200,307,2025-06-07,2025-06-07,11,1204.25,Confirmed
474,226,201,307,2025-01-25,2025-01-29,24,882.92,Confirmed
10603,238,203,309,2026-05-23,2026-05-24,23,1454.66,Pending
2508,241,210,301,2025-04-27,2025-05-07,1,862.19,Confirmed
6429,253,205,300,2025-11-04,2025-11-07,21,282.97,Confirmed
1143,261,210,308,2025-03-03,2025-03-08,29,1241.67,Confirmed
4732,363,206,310,2025-08-20,2025-08-22,39,636.03,Confirmed
10139,386,205,308,2026-04-19,2026-05-03,27,1255.17,Confirmed
10522,278,202,310,05-20-2026,05-21-2026,1,467.95,Confirmed
294,260,203,302,2025-01-17,2025-01-18,4,698.52,Confirmed
11440,366,201,306,2026-06-20,2026-07-04,24,649.81,Confirmed
2418,392,202,302,2025-04-29,2025-05-04,28,640.26,Confirmed
9017,376,202,305,2026-03-15,2026-03-17,49,823.17,Confirmed
7757,386,208,302,2026-01-16,2026-01-18,3,,Confirmed
614,185,210,302,2025-01-22,2025-02-05,6,613.69,Confirmed
7677,364,207,301,2026-01-14,2026-01-15,28,717.08,Pending
2880,315,207,302,2025-05-23,2025-05-21,18,836.48,Pending
380,392,201,305,2025-01-10,2025-01-24,32,1116.96,Pending
8878,237,204,301,2026-03-08,2026-03-12,31,713.08,Pending
5091,187,206,301,2025-09-06,2025-09-08,27,738.49,Confirmed
4666,395,202,310,2025-08-17,2025-08-20,12,383.95,Confirmed
8859,297,204,303,2026-03-07,2026-03-11,5,1060.48,Confirmed
896,269,201,301,2025-02-19,2025-02-19,25,717.86,Pending
1990,241,201,310,2025-04-10,2025-04-14,31,558.27,confirmed
11092,371,205,310,2026-05-29,2026-06-12,24,542.95,Confirmed
5306,218,209,303,2025-09-06,2025-09-20,20,1211.15,Confirmed
11340,262,206,300,2026-06-26,2026-07-01,24,426.11,Confirmed
100,267,206,303,2025-01-01,2025-01-05,26,1200.93,Confirmed
8643,367,200,310,2026-02-28,2026-02-28,1,627.37,Confirmed
4576,281,209,301,2025-08-13,2025-08-15,6,826.11,Confirmed
8491,210,204,305,2026-02-20,2026-02-22,2,1120.08,Confirmed
3990,226,208,307,2025-06-26,2025-07-10,16,719.8,Confirmed
5099,263,206,301,2025-08-25,2025-09-08,33,739.73,Confirmed
6131,257,202,305,2025-10-11,2025-10-21,44,1026.66,Confirmed
7860,355,201,300,2026-01-09,2026-01-23,35,488.8,Confirmed
9198,197,204,302,03-22-2026,03-25-2026,15,601.68,Confirmed
10999,181,208,303,2026-06-08,2026-06-10,24,1093.19,Pending
9641,182,200,302,2026-04-04,2026-04-10,29,682.58,Confirmed
5863,285,205,306,2025-10-08,2025-10-10,46,-250.0,Confirmed
10008,299,202,309,2026-04-22,2026-04-26,1,1044.06,Confirmed
5504,290,205,309,2025-09-26,2025-09-28,8,1040.07,Confirmed
1935,329,204,302,2025-04-08,2025-04-12,6,685.9,Pending
3493,349,203,300,2025-06-17,2025-06-18,28,506.76,Confirmed
2698,291,206,309,2025-05-10,2025-05-17,14,1445.9,Pending
5237,217,207,304,2025-09-07,2025-09-17,27,1154.9,Confirmed
3579,385,200,303,2025-06-18,2025-06-22,23,1454.81,Confirmed
3685,269,202,307,27/06/2025,29/06/2025,48,-250.0,Confirmed
8532,222,207,310,2026-02-22,2026-02-23,18,552.26,Confirmed
2334,237,210,302,2025-04-20,2025-04-30,19,602.15,Pending
248,168,207,307,2025-01-07,2025-01-17,24,1015.98,Confirmed
1748,387,208,300,2025-03-26,2025-04-05,25,311.22,Confirmed
3066,297,200,308,2025-05-21,2025-05-31,9,-250.0,Confirmed
7335,203,209,305,2025-12-26,2025-12-29,3,980.54,Confirmed
7411,308,205,306,2025-12-28,2026-01-01,32,416.03,Confirmed
5822,291,201,300,2025-10-05,2025-10-07,4,537.94,Confirmed
2944,209,205,304,2025-05-24,2025-05-26,30,1207.81,Confirmed
2799,250,207,310,2025-05-17,2025-05-21,18,667.61,Confirmed
4642,318,205,306,2025-08-14,2025-08-17,27,501.98,Confirmed
1517,245,204,305,2025-03-10,2025-03-24,20,969.59,Confirmed
972,246,206,305,2025-02-08,2025-02-22,27,1139.84,cancelled
312,321,203,302,2025-01-17,2025-01-20,19,596.52,Confirmed
9650,212,200,302,2026-03-27,2026-04-10,11,688.06,Confirmed
11686,249,204,302,2026-07-12,2026-07-14,14,595.44,Confirmed
201,369,204,301,2025-01-07,2025-01-09,4,728.58,Confirmed
5546,336,206,302,2025-09-28,2025-09-29,32,592.5,Confirmed
430,191,202,304,2025-01-24,2025-01-25,23,1146.9,Confirmed
5805,227,201,300,2025-09-30,2025-10-07,20,518.99,Confirmed
2761,361,204,310,2025-05-17,2025-05-20,27,648.7,Confirmed
1079,191,200,307,2025-02-26,2025-03-01,19,1015.74,Confirmed
11353,332,206,300,2026-06-27,2026-07-01,19,438.67,Confirmed
9837,304,202,309,2026-04-04,2026-04-18,36,1030.85,Confirmed
7742,310,208,302,2026-01-18,2026-01-18,45,538.17,Confirmed
9021,303,202,305,2026-03-13,2026-03-17,43,835.52,Confirmed
6649,392,208,308,2025-11-12,2025-11-14,1,896.7,Confirmed
1723,398,202,303,2025-03-21,2025-04-04,15,1051.04,Confirmed
7091,355,202,300,2025-12-08,2025-12-18,22,261.34,Confirmed
9086,181,205,302,2026-03-20,2026-03-21,16,523.59,Confirmed
2639,366,201,307,2025-05-02,2025-05-12,37,1053.7,Pending
5678,383,206,300,2025-09-30,2025-10-03,30,616.67,Confirmed
7800,396,204,304,2026-01-18,2026-01-20,1,,Confirmed
2733,222,201,307,2025-05-12,2025-05-19,4,1046.67,Confirmed
103,286,206,303,2025-01-01,2025-01-05,10,1226.6,Pending
5330,358,210,303,2025-09-16,2025-09-22,10,1062.82,Confirmed
1840,301,208,306,2025-04-02,2025-04-07,20,412.05,Pending
6419,386,201,304,2025-10-31,2025-11-05,4,980.89,Confirmed
1370,371,201,307,2025-03-05,2025-03-19,23,878.08,Confirmed
4420,237,208,302,2025-08-06,2025-08-08,25,522.75,Confirmed
1822,272,208,306,2025-04-05,2025-04-07,34,435.51,Confirmed
6480,363,206,305,2025-11-06,2025-11-08,16,951.3,Confirmed
386,317,201,305,2025-01-14,2025-01-24,2,1123.59,Confirmed
9114,298,205,302,2026-03-15,2026-03-21,21,,Pending
3464,373,206,304,2025-06-07,2025-06-17,3,1367.61,Pending
3653,375,204,305,2025-06-23,2025-06-25,25,1181.34,Confirmed
9074,215,201,303,2026-03-09,2026-03-19,6,1065.04,Confirmed
2609,200,200,305,2025-05-10,2025-05-11,24,1348.86,Confirmed
11587,349,204,309,2026-07-09,2026-07-05,39,1212.41,Confirmed
8858,373,204,303,2026-03-09,2026-03-11,31,1053.6,Confirmed
7659,377,205,310,2026-01-10,2026-01-14,38,400.18,Confirmed
5327,204,210,303,2025-09-16,2025-09-22,37,1053.27,Confirmed
4844,397,208,310,2025-08-17,2025-08-27,1,381.23,Pending
4413,270,208,302,2025-08-01,2025-08-08,30,509.04,Confirmed
1054,201,205,305,2025-02-26,2025-02-27,9,826.62,Confirmed
2349,306,205,305,2025-04-29,2025-05-03,39,1146.17,Confirmed
9635,358,200,302,2026-04-07,2026-04-10,15,690.71,Confirmed
